dataset,recall@10,ndcg@10,coverage@10,novelty@10
organic,0.0536,0.0323,0.03182636054662178,18.494360045441052
algo,0.04,0.0223,0.022353836958112286,18.671785827415636
random,0.0383,0.0215,0.024003659803877104,19.538009827307246
